lot_id,cota_cena_m
S07-Q01-B140-L001,-30.000
S07-Q01-B141-L001,-30.000
S07-Q01-B142-L001,-30.000
S07-Q01-B143-L001,-30.000
S07-Q01-B144-L001,-30.000
S07-Q01-B145-L001,-30.000
S07-Q01-B146-L001,-30.000
S07-Q01-B147-L001,-30.000
S07-Q01-B148-L001,-30.000
S07-Q01-B149-L001,-30.000
S07-Q01-B150-L001,-30.000
S07-Q01-B151-L001,-30.000
S07-Q01-B152-L001,-30.000
S07-Q01-B153-L001,-30.000
S07-Q01-B154-L001,-30.000
S07-Q01-B155-L001,-30.000
S07-Q01-B156-L001,-30.000
S07-Q01-B157-L001,-30.000
S07-Q01-B158-L001,-30.000
S07-Q01-B159-L001,-30.000
S07-Q01-B160-L001,-30.000
S07-Q01-B161-L001,-30.000
S07-Q01-B162-L001,-30.000
S07-Q01-B163-L001,-30.000
S07-Q01-B164-L001,-30.000
S07-Q01-B165-L001,-30.000
S07-Q01-B166-L001,-30.000
S07-Q01-B167-L001,-30.000
S07-Q01-B168-L001,-30.000
S07-Q01-B169-L001,-30.000
S07-Q01-B170-L001,-30.000
S07-Q01-B171-L001,-30.000
S07-Q01-B172-L001,-30.000
S07-Q01-B173-L001,-30.000
S07-Q01-B174-L001,-30.000
S07-Q01-B175-L001,-30.000
S07-Q01-B176-L001,-30.000
S07-Q01-B177-L001,-30.000
S07-Q01-B178-L001,-30.000
S07-Q01-B179-L001,-30.000
S07-Q01-B180-L001,-30.000
S07-Q01-B181-L001,-30.000
S07-Q01-B182-L001,-30.000
S07-Q01-B183-L001,-30.000
S07-Q01-B184-L001,-30.000
S07-Q01-B185-L001,-30.000
S07-Q01-B186-L001,-30.000
S07-Q01-B187-L001,-30.000
S07-Q01-B188-L001,-30.000
S07-Q01-B189-L001,-30.000
S07-Q01-B190-L001,-30.000
S07-Q01-B191-L001,-30.000
S07-Q01-B192-L001,-30.000
S07-Q01-B193-L001,-30.000
S07-Q01-B194-L001,-30.000
S07-Q01-B195-L001,-30.000
S07-Q01-B196-L001,-30.000
S07-Q01-B197-L001,-29.076
S07-Q01-B198-L001,-29.087
S07-Q01-B199-L001,-30.000
S07-Q01-B200-L001,-30.000
S07-Q01-B201-L001,-30.000
S07-Q01-B202-L001,-30.000
S07-Q01-B203-L001,-30.000
S07-Q01-B204-L001,-30.000
S07-Q01-B205-L001,-30.000
S07-Q01-B206-L001,-30.000
S07-Q01-B207-L001,-30.000
S07-Q01-B208-L001,-30.000
S07-Q01-B209-L001,-30.000
S07-Q01-B210-L001,-30.000
S07-Q01-B211-L001,-30.000
S07-Q01-B212-L001,-30.000
S07-Q01-B213-L001,-30.000
S07-Q01-B214-L001,-30.000
S07-Q01-B215-L001,-30.000
S07-Q01-B216-L001,-30.000
S07-Q01-B217-L001,-30.000
S07-Q01-B218-L001,-30.000
S07-Q01-B219-L001,-30.000
S07-Q01-B220-L001,-30.000
S07-Q01-B221-L001,-30.000
S07-Q01-B222-L001,-30.000
S07-Q01-B223-L001,-30.000
S07-Q01-B224-L001,-30.000
S07-Q01-B225-L001,-30.000
S07-Q01-B226-L001,-30.000
S07-Q01-B227-L001,-30.000
S07-Q01-B228-L001,-30.000
S07-Q01-B229-L001,-30.000
S07-Q01-B230-L001,-30.000
S07-Q01-B231-L001,-30.000
S07-Q01-B232-L001,-30.000
S07-Q01-B233-L001,-30.000
S07-Q01-B234-L001,-30.000
S07-Q01-B235-L001,-30.000
S07-Q01-B236-L001,-30.000
S07-Q01-B237-L001,-30.000
S07-Q01-B238-L001,-30.000
S07-Q01-B239-L001,-30.000
S07-Q01-B240-L001,-30.000
S07-Q01-B241-L001,-30.000
S07-Q01-B242-L001,-30.000
S07-Q01-B243-L001,-30.000
S07-Q01-B244-L001,-30.000
S07-Q01-B245-L001,-30.000
S07-Q01-B246-L001,-30.000
S07-Q01-B247-L001,-30.000
S07-Q01-B248-L001,-30.000
S07-Q01-B249-L001,-30.000
S07-Q01-B250-L001,-30.000
S07-Q01-B251-L001,-30.000
S07-Q01-B252-L001,-30.000
S07-Q01-B253-L001,-30.000
S07-Q01-B254-L001,-30.000
S07-Q01-B255-L001,-30.000
S07-Q01-B256-L001,-30.000
S07-Q01-B257-L001,-30.000
S07-Q01-B258-L001,-30.000
S07-Q01-B259-L001,-30.000
S07-Q01-B260-L001,-30.000
S07-Q01-B261-L001,-30.000
S07-Q01-B262-L001,-30.000
S07-Q01-B263-L001,-30.000
S07-Q01-B264-L001,-30.000
S07-Q01-B265-L001,-30.000
S07-Q01-B266-L001,-30.000
S07-Q01-B267-L001,-30.000
S07-Q01-B268-L001,-30.000
S07-Q01-B269-L001,-30.000
S07-Q01-B270-L001,-30.000
S07-Q01-B271-L001,-30.000
S07-Q01-B272-L001,-30.000
S07-Q01-B273-L001,-30.000
S07-Q01-B274-L001,-30.000
S07-Q01-B275-L001,-30.000
S07-Q01-B276-L001,-30.000
S07-Q01-B277-L001,-30.000
S07-Q01-B278-L001,-30.000
S07-Q01-B279-L001,-30.000
S07-Q01-B280-L001,-30.000
S07-Q01-B281-L001,-30.000
S07-Q01-B282-L001,-30.000
S07-Q01-B283-L001,-30.000
S07-Q01-B284-L001,-30.000
S07-Q01-B285-L001,-30.000
S07-Q01-B286-L001,-30.000
S07-Q01-B287-L001,-30.000
S07-Q01-B288-L001,-30.000
S07-Q01-B289-L001,-30.000
S07-Q01-B290-L001,-30.000
S07-Q01-B291-L001,-30.000
S07-Q01-B292-L001,-30.000
S07-Q01-B293-L001,-30.000
S07-Q01-B294-L001,-30.000
S07-Q01-B295-L001,-30.000
S07-Q01-B296-L001,-30.000
S07-Q01-B297-L001,-30.000
S07-Q01-B298-L001,-30.000
S07-Q01-B299-L001,-30.000
S07-Q01-B300-L001,-30.000
S07-Q01-B301-L001,-30.000
S07-Q01-B302-L001,-30.000
S07-Q01-B303-L001,-30.000
S07-Q01-B304-L001,-30.000
S07-Q01-B305-L001,-30.000
S07-Q01-B306-L001,-30.000
S07-Q01-B307-L001,-30.000
S07-Q01-B308-L001,-30.000
S07-Q01-B309-L001,-30.000
S07-Q01-B310-L001,-30.000
S07-Q01-B311-L001,-30.000
S07-Q01-B312-L001,-30.000
S07-Q01-B313-L001,-30.000
S07-Q01-B314-L001,-30.000
S07-Q01-B315-L001,-30.000
S07-Q01-B316-L001,-30.000
S07-Q01-B317-L001,-30.000
S07-Q01-B318-L001,-30.000
S07-Q01-B319-L001,-30.000
S07-Q01-B320-L001,-30.000
S07-Q01-B321-L001,-30.000
S07-Q01-B322-L001,-30.000
S07-Q01-B323-L001,-30.000
S07-Q01-B324-L001,-30.000
S07-Q01-B325-L001,-30.000
S07-Q01-B326-L001,-30.000
S07-Q01-B327-L001,-30.000
S07-Q01-B328-L001,-30.000
S07-Q01-B329-L001,-30.000
S07-Q01-B330-L001,-30.000
S07-Q01-B331-L001,-30.000
S07-Q01-B332-L001,-30.000
S07-Q01-B333-L001,-30.000
S07-Q01-B334-L001,-30.000
S07-Q01-B335-L001,-30.000
S07-Q01-B336-L001,-30.000
S07-Q01-B337-L001,-30.000
S07-Q01-B338-L001,-30.000
S07-Q01-B339-L001,-30.000
S07-Q01-B340-L001,-30.000
S07-Q01-B341-L001,-30.000
S07-Q01-B342-L001,-30.000
S07-Q01-B343-L001,-30.000
S07-Q01-B344-L001,-30.000
S07-Q01-B345-L001,-30.000
S07-Q01-B346-L001,-30.000
S07-Q01-B347-L001,-30.000
S07-Q01-B348-L001,-30.000
S07-Q01-B349-L001,-30.000
S07-Q01-B350-L001,-30.000
S07-Q01-B351-L001,-30.000
S07-Q01-B352-L001,-30.000
S07-Q01-B353-L001,-30.000
S07-Q01-B354-L001,-30.000
S07-Q01-B355-L001,-30.000
S07-Q01-B356-L001,-30.000
S07-Q01-B357-L001,-30.000
S07-Q01-B358-L001,-30.000
S07-Q01-B359-L001,-30.000
S07-Q01-B360-L001,-30.000
S07-Q01-B361-L001,-30.000
S07-Q01-B362-L001,-30.000
S07-Q01-B363-L001,-30.000
S07-Q01-B364-L001,-30.000
S07-Q01-B365-L001,-30.000
S07-Q01-B366-L001,-30.000
S07-Q01-B367-L001,-30.000
S07-Q01-B368-L001,-30.000
S07-Q01-B369-L001,-30.000
S07-Q01-B370-L001,-30.000
S07-Q01-B371-L001,-30.000
S07-Q01-B372-L001,-30.000
S07-Q01-B373-L001,-30.000
S07-Q01-B374-L001,-30.000
S07-Q01-B375-L001,-30.000
S07-Q01-B376-L001,-30.000
S07-Q01-B377-L001,-30.000
S07-Q01-B378-L001,-30.000
S07-Q01-B379-L001,-30.000
S07-Q01-B380-L001,-30.000
S07-Q01-B381-L001,-30.000
S07-Q01-B382-L001,-30.000
S07-Q01-B383-L001,-30.000
S07-Q01-B384-L001,-30.000
S07-Q01-B385-L001,-30.000
S07-Q01-B386-L001,-30.000
S07-Q01-B387-L001,-30.000
S07-Q01-B388-L001,-30.000
S07-Q01-B389-L001,-30.000
S07-Q01-B390-L001,-30.000
S07-Q01-B391-L001,-30.000
S07-Q01-B392-L001,-30.000
S07-Q01-B393-L001,-30.000
S07-Q01-B394-L001,-30.000
S07-Q01-B395-L001,-30.000
S07-Q01-B396-L001,-30.000
S07-Q01-B397-L001,-30.000
S07-Q01-B398-L001,-30.000
S07-Q01-B399-L001,-30.000
S07-Q01-B400-L001,-30.000
S07-Q01-B401-L001,-30.000
S07-Q01-B402-L001,-30.000
S07-Q01-B403-L001,-30.000
S07-Q01-B404-L001,-30.000
S07-Q01-B405-L001,-30.000
S07-Q01-B406-L001,-30.000
S07-Q01-B407-L001,-30.000
S07-Q01-B408-L001,-30.000
S07-Q01-B409-L001,-30.000
S07-Q01-B410-L001,-30.000
S07-Q01-B411-L001,-30.000
S07-Q01-B412-L001,-30.000
S07-Q01-B413-L001,-30.000
S07-Q01-B414-L001,-30.000
S07-Q01-B415-L001,-30.000
S07-Q01-B416-L001,-30.000
S07-Q01-B417-L001,-30.000
S07-Q01-B418-L001,-30.000
S07-Q01-B419-L001,-30.000
S07-Q01-B420-L001,-30.000
S07-Q01-B421-L001,-30.000
S07-Q01-B422-L001,-30.000
S07-Q01-B423-L001,-30.000
S07-Q01-B424-L001,-30.000
S07-Q01-B425-L001,-30.000
S07-Q01-B426-L001,-30.000
S07-Q01-B427-L001,-30.000
S07-Q01-B428-L001,-30.000
S07-Q01-B429-L001,-30.000
S07-Q01-B430-L001,-30.000
S07-Q01-B431-L001,-30.000
S07-Q01-B432-L001,-30.000
S07-Q01-B433-L001,-30.000
S07-Q01-B434-L001,-30.000
S07-Q01-B435-L001,-30.000
S07-Q01-B436-L001,-30.000
S07-Q01-B437-L001,-30.000
S07-Q01-B438-L001,-30.000
S07-Q01-B439-L001,-30.000
S07-Q01-B440-L001,-30.000
S07-Q01-B441-L001,-30.000
S07-Q01-B442-L001,-30.000
S07-Q01-B443-L001,-30.000
S07-Q01-B444-L001,-30.000
S07-Q01-B445-L001,-30.000
S07-Q01-B446-L001,-30.000
S07-Q01-B447-L001,-30.000
S07-Q01-B448-L001,-30.000
S07-Q01-B449-L001,-30.000
S07-Q01-B450-L001,-30.000
S07-Q01-B451-L001,-30.000
S07-Q01-B452-L001,-30.000
S07-Q01-B453-L001,-30.000
S07-Q01-B454-L001,-30.000
S07-Q01-B455-L001,-30.000
S07-Q01-B456-L001,-30.000
S07-Q01-B457-L001,-30.000
S07-Q01-B458-L001,-30.000
S07-Q01-B459-L001,-30.000
S07-Q01-B460-L001,-30.000
S07-Q01-B461-L001,-30.000
S07-Q01-B462-L001,-30.000
S07-Q01-B463-L001,-30.000
S07-Q01-B464-L001,-30.000
S07-Q01-B465-L001,-30.000
S07-Q01-B466-L001,-30.000
S07-Q01-B467-L001,-30.000
S07-Q01-B468-L001,-30.000
S07-Q01-B469-L001,-30.000
S07-Q01-B470-L001,-30.000
S07-Q01-B471-L001,-30.000
S07-Q01-B472-L001,-30.000
S07-Q01-B473-L001,-30.000
S07-Q01-B474-L001,-30.000
S07-Q01-B475-L001,-30.000
S07-Q01-B476-L001,-30.000
S07-Q01-B477-L001,-30.000
S07-Q01-B478-L001,-30.000
S07-Q01-B479-L001,-30.000
S07-Q01-B480-L001,-30.000
S07-Q01-B481-L001,-30.000
S07-Q01-B482-L001,-30.000
S07-Q01-B483-L001,-30.000
S07-Q01-B484-L001,-30.000
S07-Q01-B485-L001,-30.000
S07-Q01-B486-L001,-30.000
S07-Q01-B487-L001,-30.000
S07-Q01-B488-L001,-30.000
S07-Q01-B489-L001,-30.000
S07-Q01-B490-L001,-30.000
S07-Q01-B491-L001,-30.000
S07-Q01-B492-L001,-30.000
S07-Q01-B493-L001,-30.000
S07-Q01-B494-L001,-30.000
S07-Q01-B495-L001,-30.000
S07-Q01-B496-L001,-30.000
S07-Q01-B497-L001,-30.000
S07-Q01-B498-L001,-30.000
S07-Q01-B499-L001,-30.000
S07-Q01-B500-L001,-30.000
S07-Q01-B501-L001,-30.000
S07-Q01-B502-L001,-30.000
S07-Q01-B503-L001,-29.614
S07-Q01-B504-L001,-30.000
S07-Q01-B505-L001,-29.078
S09-Q06-B001-L001,-30.000
S09-Q07-B001-L001,-30.000
S09-Q08-B001-L001,-30.000
S09-Q10-B001-L001,-32.983
S09-Q11-B001-L001,-30.146
S09-Q12-B001-L001,-30.211
S09-Q14-B001-L001,-32.248
S09-Q15-B001-L001,-30.819
S09-Q16-B001-L001,-30.938
S09-Q17-B001-L001,-31.775
S09-Q18-B001-L001,-33.807
S09-Q13-B001-L001,-33.740
S09-Q10-B002-L001,-31.161
S09-Q14-B002-L001,-32.186
S09-Q12-B002-L001,-30.000
S09-Q11-B002-L001,-30.000
S09-Q16-B002-L001,-30.000
S09-Q15-B002-L001,-30.000
S09-Q18-B002-L001,-31.129
S09-Q13-B002-L001,-30.757
S09-Q17-B002-L001,-30.016
S09-Q07-B002-L001,-30.000
S09-Q10-B003-L001,-30.000
S09-Q14-B003-L001,-30.927
S09-Q11-B003-L001,-30.000
S09-Q16-B003-L001,-30.000
S09-Q01-B001-L001,-32.836
S09-Q02-B001-L001,-30.000
S09-Q03-B001-L001,-30.939
S09-Q04-B001-L001,-31.367
S09-Q18-B003-L001,-30.000
S09-Q15-B003-L001,-30.000
S09-Q13-B003-L001,-30.301
S09-Q12-B003-L001,-30.000
S09-Q10-B004-L001,-30.000
S09-Q14-B004-L001,-30.000
S09-Q16-B004-L001,-30.000
S09-Q07-B003-L001,-30.000
S09-Q11-B004-L001,-30.000
S09-Q18-B004-L001,-30.000
S09-Q15-B004-L001,-30.000
S09-Q13-B004-L001,-31.431
S09-Q17-B003-L001,-30.000
S09-Q12-B004-L001,-30.000
S09-Q10-B005-L001,-30.223
S09-Q14-B005-L001,-30.000
S09-Q04-B002-L001,-31.409
S09-Q03-B002-L001,-30.804
S09-Q01-B002-L001,-31.970
S09-Q11-B005-L001,-30.000
S09-Q15-B005-L001,-30.000
S09-Q16-B005-L001,-30.401
S09-Q08-B002-L001,-30.000
S09-Q06-B002-L001,-30.000
S09-Q17-B004-L001,-30.000
S09-Q07-B004-L001,-30.000
S09-Q12-B005-L001,-30.000
S09-Q10-B006-L001,-30.557
S09-Q13-B005-L001,-30.000
S09-Q14-B006-L001,-30.000
S09-Q18-B005-L001,-30.012
S09-Q11-B006-L001,-30.000
S09-Q15-B006-L001,-30.000
S09-Q16-B006-L001,-30.688
S09-Q17-B005-L001,-30.010
S09-Q12-B006-L001,-30.000
S09-Q14-B007-L001,-31.978
S09-Q07-B005-L001,-30.369
S09-Q01-B003-L001,-31.049
S09-Q04-B003-L001,-31.180
S09-Q02-B002-L001,-30.983
S09-Q18-B006-L001,-30.015
S09-Q13-B006-L001,-30.286
S09-Q15-B007-L001,-30.000
S09-Q16-B007-L001,-30.000
S09-Q17-B006-L001,-30.009
S09-Q10-B007-L001,-30.560
S09-Q12-B007-L001,-30.000
S09-Q11-B007-L001,-30.000
S09-Q18-B007-L001,-30.000
S09-Q13-B007-L001,-30.740
S09-Q07-B006-L001,-30.000
S09-Q15-B008-L001,-30.000
S09-Q10-B008-L001,-30.000
S09-Q17-B007-L001,-30.000
S09-Q03-B003-L001,-30.694
S09-Q12-B008-L001,-30.000
S09-Q16-B008-L001,-30.000
S09-Q01-B004-L001,-30.739
S09-Q04-B004-L001,-31.213
S09-Q02-B003-L001,-30.478
S09-Q11-B008-L001,-30.000
S09-Q18-B008-L001,-30.000
S09-Q13-B008-L001,-30.291
S09-Q14-B008-L001,-30.000
S09-Q10-B009-L001,-30.000
S09-Q17-B008-L001,-30.000
S09-Q12-B009-L001,-30.000
S09-Q07-B007-L001,-30.000
S09-Q06-B003-L001,-30.000
S09-Q08-B003-L001,-30.000
S09-Q16-B009-L001,-30.711
S09-Q11-B009-L001,-30.000
S09-Q13-B009-L001,-30.000
S09-Q14-B009-L001,-30.000
S09-Q10-B010-L001,-30.072
S09-Q17-B009-L001,-30.006
S09-Q15-B009-L001,-30.618
S09-Q03-B004-L001,-30.598
S09-Q18-B009-L001,-30.000
S09-Q12-B010-L001,-30.000
S09-Q16-B010-L001,-30.000
S09-Q07-B008-L001,-30.000
S09-Q01-B005-L001,-30.434
S09-Q04-B005-L001,-31.193
S09-Q02-B004-L001,-30.679
S09-Q11-B010-L001,-30.000
S09-Q13-B010-L001,-30.000
S09-Q14-B010-L001,-30.000
S09-Q10-B011-L001,-30.919
S09-Q17-B010-L001,-30.004
S09-Q18-B010-L001,-30.000
S09-Q12-B011-L001,-30.000
S09-Q16-B011-L001,-30.000
S09-Q15-B010-L001,-30.446
S09-Q11-B011-L001,-30.000
S09-Q13-B011-L001,-30.000
S09-Q14-B011-L001,-30.000
S09-Q10-B012-L001,-30.491
S09-Q07-B009-L001,-30.000
S09-Q17-B011-L001,-30.000
S09-Q03-B005-L001,-30.516
S09-Q18-B011-L001,-30.022
S09-Q12-B012-L001,-30.000
S09-Q15-B011-L001,-30.000
S09-Q04-B006-L001,-30.985
S09-Q01-B006-L001,-30.341
S09-Q02-B005-L001,-30.878
S09-Q11-B012-L001,-30.000
S09-Q13-B012-L001,-30.000
S09-Q14-B012-L001,-31.751
S09-Q16-B012-L001,-30.000
S09-Q18-B012-L001,-30.000
S09-Q12-B013-L001,-30.000
S09-Q10-B013-L001,-30.000
S09-Q07-B010-L001,-30.000
S09-Q11-B013-L001,-30.000
S09-Q13-B013-L001,-30.000
S09-Q14-B013-L001,-30.763
S09-Q06-B004-L001,-30.000
S09-Q16-B013-L001,-30.000
S09-Q15-B012-L001,-30.901
S09-Q03-B006-L001,-30.422
S09-Q12-B014-L001,-30.000
S09-Q10-B014-L001,-30.000
S09-Q17-B012-L001,-30.000
S09-Q18-B013-L001,-30.000
S09-Q04-B007-L001,-31.009
S09-Q01-B007-L001,-30.000
S09-Q07-B011-L001,-30.388
S09-Q02-B006-L001,-30.162
S09-Q11-B014-L001,-30.000
S09-Q13-B014-L001,-30.000
S09-Q14-B014-L001,-30.000
S09-Q16-B014-L001,-30.000
S09-Q15-B013-L001,-31.630
S09-Q12-B015-L001,-30.000
S09-Q10-B015-L001,-30.000
S09-Q18-B014-L001,-30.001
S09-Q13-B015-L001,-30.000
S09-Q11-B015-L001,-30.000
S09-Q08-B004-L001,-30.000
S09-Q14-B015-L001,-30.000
S09-Q16-B015-L001,-31.796
S09-Q15-B014-L001,-30.113
S09-Q17-B013-L001,-30.000
S09-Q03-B007-L001,-30.325
S09-Q12-B016-L001,-30.000
S09-Q07-B012-L001,-30.000
S09-Q18-B015-L001,-30.001
S09-Q01-B008-L001,-30.000
S09-Q04-B008-L001,-30.902
S09-Q11-B016-L001,-30.000
S09-Q02-B007-L001,-30.000
S09-Q14-B016-L001,-30.000
S09-Q10-B016-L001,-30.316
S09-Q16-B016-L001,-30.000
S09-Q15-B015-L001,-30.000
S09-Q17-B014-L001,-30.000
S09-Q12-B017-L001,-30.000
S09-Q18-B016-L001,-30.001
S09-Q11-B017-L001,-30.000
S09-Q14-B017-L001,-30.000
S09-Q10-B017-L001,-30.276
S09-Q07-B013-L001,-30.000
S09-Q17-B015-L001,-30.000
S09-Q12-B018-L001,-30.000
S09-Q03-B008-L001,-30.238
S09-Q06-B005-L001,-30.000
S09-Q18-B017-L001,-30.000
S09-Q11-B018-L001,-30.000
S09-Q04-B009-L001,-30.744
S09-Q01-B009-L001,-30.000
S09-Q02-B008-L001,-30.000
S09-Q15-B016-L001,-32.318
S09-Q14-B018-L001,-30.558
S09-Q13-B016-L001,-30.000
S09-Q10-B018-L001,-30.138
S09-Q17-B016-L001,-30.000
S09-Q12-B019-L001,-30.000
S09-Q16-B017-L001,-30.000
S09-Q07-B014-L001,-30.000
S09-Q18-B018-L001,-30.000
S09-Q11-B019-L001,-30.000
S09-Q15-B017-L001,-30.000
S09-Q14-B019-L001,-31.394
S09-Q10-B019-L001,-30.037
S09-Q13-B017-L001,-30.000
S09-Q17-B017-L001,-30.000
S09-Q03-B009-L001,-30.143
S09-Q16-B018-L001,-30.000
S09-Q07-B015-L001,-30.000
S09-Q01-B010-L001,-30.000
S09-Q04-B010-L001,-30.760
S09-Q02-B009-L001,-30.000
S09-Q14-B020-L001,-30.000
S09-Q10-B020-L001,-30.000
S09-Q13-B018-L001,-30.432
S09-Q09-B001-L001,-30.000
S09-Q11-B020-L001,-30.000
S09-Q17-B018-L001,-30.000
S09-Q15-B018-L001,-30.000
S09-Q16-B019-L001,-30.000
S09-Q10-B021-L001,-30.000
S09-Q13-B019-L001,-32.034
S09-Q09-B002-L001,-31.966
S09-Q07-B016-L001,-30.000
S09-Q11-B021-L001,-30.000
S09-Q17-B019-L001,-30.000
S09-Q08-B005-L001,-30.000
S09-Q14-B021-L001,-30.000
S09-Q03-B010-L001,-30.047
S09-Q16-B020-L001,-31.303
S09-Q15-B019-L001,-30.638
S09-Q18-B019-L001,-30.001
S09-Q04-B011-L001,-30.602
S09-Q10-B022-L001,-30.000
S09-Q02-B010-L001,-30.000
S09-Q13-B020-L001,-30.000
S09-Q09-B003-L001,-30.000
